Spørsmål;Svar;Les mer her…;Link
Hvor mange fridager er arbeidstakere som ikke er tilknyttet Den norske kirke?;Arbeidstakere som ikke tilhører Den norske kirke, har på visse vilkår rett til 2 fridager hvertkalenderår for å feire sine religiøse høytidsdager, se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Kan du opplyse om antall fridager som arbeidstakere er ikke kristen ?;Arbeidstakere som ikke tilhører Den norske kirke, har på visse vilkår rett til 2 fridager hvertkalenderår for å feire sine religiøse høytidsdager, se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Fridager knyttet til trosretninger;Arbeidstakere som ikke tilhører Den norske kirke, har på visse vilkår rett til 2 fridager hvertkalenderår for å feire sine religiøse høytidsdager, se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
kjernetiden ;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Hvordan er kjernetiden og den ytre arbeidstiden, og hva er prosedyren for fleksitidr?;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Hva er de fastsatte kjernearbeidstidene og de generelle arbeidstidene,forklare retningslinjene for fleksitid ?;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Kan du gi en oversikt over kjernetiden reglene og mulighetene knyttet til fleksitid på lørdager?;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Hvor mange overtidstimer har ansatte anledning til å avspasere per år?;Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
 Gi informasjon om grensen for avspasering av overtidstimer, og hva er reglene ubrukte timer til neste år?;Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Hvordan er reglene fastsatt for avspasering av overtidstimer per år?;Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Hvor mange pluss-timer har de ansatte lov til å ta ut i avspasering?;Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Kan du forklare maksimalt antall timer som kan avspaseres per år?;Ansatte kan avspasere inntil 180 timer per kalenderår. Eventuelle pluss- og minustimer blir automatisk overført til neste år, men det er begrensninger på hvor mange plusstimer og minustimer som kan overføres.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Hva er prosedyren for ansatte når det gjelder registrering av arbeidstid og fravær ?;Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Hvordan bør ansatte loggføre arbeidstid og fravær for å sikre at det ikke blir aktuelt med lønnstrekk ?;Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
korrekt registrering av arbeidstid og fravær for å unngå eventuelle lønnstrekk ?;Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
unngå mulige lønnstrekk.;Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
dokumentasjon av arbeidstid og fravær?;Ansatte må registrere arbeidstid og fravær i DFØ-appen eller SAP selvbetjeningsportalen for å unngå potensielle lønnstrekk ved årets slutt.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Fleksibel arbeidstid;Husbanken følger Særavtale om fleksibel arbeidstid i statens personalhåndbok.Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800.  se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Hva er normalarbeidstiden i Husbanken, og hvordan varierer den mellom sommer og vinter?;Det er arbeidstidsbestemmelsene i arbeidsmiljølovens kap.10,hovedtariffavtalene hovedavtalenNormalarbeidstiden i Husbanken varierer mellom sommer og vinter. Fra 15. mai til 14. september er arbeidstiden kl. 08.00-15.00, mens fra 15. september til 14. mai er arbeidstiden kl. 08.00-15.45;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Hvilke dager har ansatte i Husbanken fri?;Ansatte i Husbanken har fri på følgende høytidsdager: Nyttårsdag (1. januar), skjærtorsdag, langfredag, påskeaften, 1. og 2. påskedag, 1. mai, 17. mai, kristi himmelfartsdag, 1. og 2. pinsedag, 1. og 2. juledag (25. og 26. desember). I tillegg har de fri jul- eller nyttårsaften og én valgfri arbeidsdag i romjulen;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
hva er reglene for fleksitid på lørdager?;Kjernetiden i Husbanken er kl. 09.00 til 14.30 hele året, og den ytre arbeidstiden er fra kl. 0600 til kl. 0900 og fra kl. 1430 til kl. 2100 mandag til fredag hele året. Etter avtale med leder, kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800. se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
 reglene for fleksitid på lørdager?; Kan ansatte arbeide fleksitid også på lørdager med inntil 5 timer mellom kl. 0700 og kl. 1800. se Staten personalhåndbok 10.8.2.2;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Arbeidstid
Feriepenger;Feriepenger utbetales i juni.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Feriepenger
Hvor mange feriedager?;Du har rett til å avvikle 25 dager (fem uker) ferie per kalenderår. Hvis du begynner ijobben etter 30. september, har du rett til fem dager ferie året etter. Ferien du har rett påkan være lønnet eller ulønnet, alt etter hvor stor opptjening du har fra året før.Du kan kreve tre uker sammenhengende ferie i perioden 1. juni - 30. september.Arbeidsgiver skal i god tid før ferien drøfte ferieavviklingen med den enkelte arbeidstaker.Hvis dere ikke blir enige, har arbeidsgiver siste ordet innenfor grensene som settes i ferieloven §§ 7-9. De to øvrige ferieukene kan du kreve å få avvikle som hele uker, menikke nødvendigvis sammenhengende.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Hvor mange uker med ferie har du rett til hvert år?;Du har rett til å avvikle 25 dager (fem uker) ferie per kalenderår. Hvis du begynner ijobben etter 30. september, har du rett til fem dager ferie året etter. Ferien du har rett påkan være lønnet eller ulønnet, alt etter hvor stor opptjening du har fra året før.Du kan kreve tre uker sammenhengende ferie i perioden 1. juni - 30. september.Arbeidsgiver skal i god tid før ferien drøfte ferieavviklingen med den enkelte arbeidstaker.Hvis dere ikke blir enige, har arbeidsgiver siste ordet innenfor grensene som settes i ferieloven §§ 7-9. De to øvrige ferieukene kan du kreve å få avvikle som hele uker, menikke nødvendigvis sammenhengende.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Hvordan kan du søke om ferie;Du må søke om ferie i DFØ-appen eller SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden.Husbanken har også en egen ferieliste som bør fylles ut i ferietiden.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Hva er måten å søke ferie på?;Du må søke om ferie i DFØ-appen eller SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden.Husbanken har også en egen ferieliste som bør fylles ut i ferietiden.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Hvilken portal må du bruke for å søke om ferie?;Du må søke om ferie i DFØ-appen eller SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden.Husbanken har også en egen ferieliste som bør fylles ut i ferietiden.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
overføre ubrukte feriedager til neste år?;Ferieloven og hovedtariffavtalen åpner for at arbeidsgiver og arbeidstaker kan avtale å overføre 14 feriedager til neste år. Søknad om overføring av ferie skal skje i SAP selvbetjeningsportalen.Merk deg at muligheten for å få utbetalt lønn for uavviklet ferie er falt bort ved endring avferieloven pr. 1.7.2014. Les mer om uavviklet ferie på grunn av sykdom. Dersom du vil overføre ferie fra et ferieår til neste, må du søke om dette innen 5. januar;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Hvordan søke om å overføre feriedager til neste år?;Ferieloven og hovedtariffavtalen åpner for at arbeidsgiver og arbeidstaker kan avtale å overføre 14 feriedager til neste år. Søknad om overføring av ferie skal skje i SAP selvbetjeningsportalen.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
forskuddsferie;Det kan gis forskuddsferie med maksimalt 10 dager. Forskuddsferie må være opptjent før den kan innvilges.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
få forskuddsferie?;Det kan gis forskuddsferie med maksimalt 10 dager. Forskuddsferie må være opptjent før den kan innvilges.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
definisjonen av forskuddsferie?;Det kan gis forskuddsferie med maksimalt 10 dager. Forskuddsferie må være opptjent før den kan innvilges.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
feriedager har ansatte over 60 år ;Du som fylt 60 år har rett til en uke ekstra ferie. Disse dagene kan dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
ekstra feriedagene for ansatte over 60 ;Du som fylt 60 år har rett til en uke ekstra ferie. Disse dagene kan dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
fordeler har ansatte over 60 år når det gjelder ferie?;Du som fylt 60 år har rett til en uke ekstra ferie. Disse dagene kan dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Antall feriedager for ansatte som jobber deltid;Når du tar ferie, avvikler du samme antall feriedager som du vanligvis jobber per uke. Deøvrige ukedagene er fridager uansett og trekkes ikke av kvoten for feriedager. Hvis du foreksempel normalt arbeider tre dager i uken, og tar en uke ferie, trekkes du for treferiedager. Arbeider du normalt tre timer om dagen fire dager i uken, og tar en uke ferie,trekkes du for fire feriedager.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
søke om ferie?;Du må søke om ferie i DFØ-appen eller SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden. Husbanken har også en egen ferieliste som bør fylles ut i ferietiden. ;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Antall feriedager for som jobber deltid;Når du tar ferie, avvikler du samme antall feriedager som du vanligvis jobber per uke. Deøvrige ukedagene er fridager uansett og trekkes ikke av kvoten for feriedager. Hvis du foreksempel normalt arbeider tre dager i uken, og tar en uke ferie, trekkes du for treferiedager. Arbeider du normalt tre timer om dagen fire dager i uken, og tar en uke ferie,trekkes du for fire feriedager.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
overføre feriedager til neste år?;Ferieloven og hovedtariffavtalen åpner for at arbeidsgiver og arbeidstaker kan avtale å overføre 14 feriedager til neste år. Søknad om overføring av ferie skal skje i SAP selvbetjeningsportalen.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
feriedager for ansatte over 60 år.;Du som fylt 60 år har rett til en uke ekstra ferie. Disse dagene kan dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
kan ansatt over 62 stå lenger i arbeid?;"Husbanken og de ansattes organisasjoner har inngått avtale om seniorpolitiske tiltak iHusbanken
for perioden 1. januar 2023 til og med 30. april 2024.Arbeidsgiver ønsker å legge til rette for at arbeidstakere kan stå lenger i arbeid. Det gisderfor anledning til ekstra tjenestefri med lønn etter denne avtalen.";Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Seniordager (fra 62 år).;"Husbanken og de ansattes organisasjoner har inngått avtale om seniorpolitiske tiltak iHusbanken
for perioden 1. januar 2023 til og med 30. april 2024.FormålArbeidsgiver ønsker å legge til rette for at arbeidstakere kan stå lenger i arbeid. Det gisderforanledning til ekstra tjenestefri med lønn etter denne avtalen. Sentrale vedtatte kollektive tiltak etter Hovedtariffavtalen.Det gis tjenestefri med lønn tilsvarende åtte dager pr. år fra det kalenderåret arbeidstakerefyller 62 år.Lokale kollektive tiltak. I tillegg til de dagene arbeidstaker kan ta ut som tjenestefri etter Hovedtariffavtalen,kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år.De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.";Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Føringer for uttak av tjenestefri etter Hovedtariffavtalen og denne avtalen;Uttak av tjenestefri med lønn kan tas som hele dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn.Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året.Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
feriedager for ansatte over 60 år.;Du som fylt 60 år har rett til en uke ekstra ferie. Disse dagene kan dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
kan man over 62 jobbe?;Husbanken og de ansattes organisasjoner har inngått avtale om seniorpolitiske tiltak iHusbanken for perioden 1. januar 2023 til og med 30. april 2024. Arbeidsgiver ønsker å legge til rette for at arbeidstakere kan stå lenger i arbeid. Det gisderfor anledning til ekstra tjenestefri med lønn etter denne avtalen.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Ansatt som fyller 62  år tjenestefri? ;Ansatt over 62 har ekstre tjenestefri med lønn etter denne avtalen. Sentrale vedtatte kollektive tiltak etter Hovedtariffavtalen. Det gis tjenestefri med lønn tilsvarende åtte dager pr. år fra det kalenderåret arbeidstakerefyller 62 år. I tillegg til de dagene arbeidstaker kan ta ut som tjenestefri etter Hovedtariffavtalen,kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år. De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Ansatt som er over 62 ekstre fridager.;Ansatt over 62 har ekstre tjenestefri med lønn etter denne avtalen. Sentrale vedtatte kollektive tiltak etter Hovedtariffavtalen. Det gis tjenestefri med lønn tilsvarende åtte dager pr. år fra det kalenderåret arbeidstakerefyller 62 år. I tillegg til de dagene arbeidstaker kan ta ut som tjenestefri etter Hovedtariffavtalen,kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år.De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Har ansatt som er over 62 ekstre fridager?;Ansatt over 62 har ekstre tjenestefri med lønn etter denne avtalen. Sentrale vedtatte kollektive tiltak etter Hovedtariffavtalen. Det gis tjenestefri med lønn tilsvarende åtte dager pr. år fra det kalenderåret arbeidstakerefyller 62 år. I tillegg til de dagene arbeidstaker kan ta ut som tjenestefri etter Hovedtariffavtalen, kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år.De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
hva er Føringer for uttak av tjenestefri til ansatte som er over 62?;Uttak av tjenestefri med lønn kan tas som hele dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn. Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året. Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Hvordan er retningslinjene for å ta ut tjenestefri for ansatte over 62 år?;Uttak av tjenestefri med lønn kan tas som hele dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn. Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året. Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
Hvordan fungerer uttak av tjenestefri for de ansatte som har fylt 62 år?;Uttak av tjenestefri med lønn kan tas som hele dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn. Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året. Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie
